osm_id	name	levels_raw	height_raw	flats_raw	start_date	district	subdistrict	levels	height	flats	built_year	levels_filled	height_filled	building_area_m2	complex_osm_id	complex_name
313864713	한양빌리지B					송파구	송파동							73.94027117125674		
313864714	한양빌리지A					송파구	송파동							90.04507968785195		
333073382	101동	32	92	123	2010			32.0	92.0	123	2010	32.0	92.0	705.2248435273443	333075749.0	반포리체아파트
333073384	106동	35	101	136	2010			35.0	101.0	136	2010	35.0	101.0	562.9617205755791	333075749.0	반포리체아파트
333075393	102동	35	101	68	2010			35.0	101.0	68	2010	35.0	101.0	485.25304171088646	333075749.0	반포리체아파트
333075396	108동	35	101	136	2010			35.0	101.0	136	2010	35.0	101.0	692.4302257434653	333075749.0	반포리체아파트
333242084	빌라													142.85587709651594		
333257783	3동	15		120	1988			15.0		120	1988	15.0	42.0	900.36078600227	306385386.0	삼풍아파트
333257784	7동	15		165	1988			15.0		165	1988	15.0	42.0	1157.3329536820713	306385386.0	삼풍아파트
333260079		20		83	2010			20.0		83	2010	20.0	56.0	720.630070243439	306386648.0	서초교대e편한세상
333260080		20		84	2010			20.0		84	2010	20.0	56.0	687.859958686642	306386648.0	서초교대e편한세상
333260081		20		84	2010			20.0		84	2010	20.0	56.0	709.3160960869303	306386648.0	서초교대e편한세상
333260082		20		85	2010			20.0		85	2010	20.0	56.0	743.7688466318644	306386648.0	서초교대e편한세상
333260625		16		62	2010			16.0		62	2010	16.0	44.8	754.1667772855559	306386648.0	서초교대e편한세상
333260626		15		37	2010			15.0		37	2010	15.0	42.0	420.598976168182	306386648.0	서초교대e편한세상
356466127	빌폴라리스 아파트	20	70	19	2009	강남구	청담동	20.0	70.0	19	2009	20.0	70.0	369.34319012710705		
356466129	상지리츠빌카일룸 3차 아파트	20	70	19	2009	강남구	청담동	20.0	70.0	19	2009	20.0	70.0	455.01636764186225		
356466133	상지리츠빌카일룸 2차 아파트	16	57	15	2006	강남구	청담동	16.0	57.0	15	2006	16.0	57.0	697.0724568471683		
356466136	상지카일룸 아파트	13	45	17	2003	강남구	청담동	13.0	45.0	17	2003	13.0	45.0	624.3506747929729		
356466137	구산아파트					강남구	청담동							556.3678393634348		
356476364	연세리버빌3차 아파트	13	41	19	1999	강남구	청담동	13.0	41.0	19	1999	13.0	41.0	758.496418428349		
356477886	한성주택					강남구	청담동							342.1323970492224		
356492261	호원 아파트					강남구	청담동							822.8176647738396		
356492270	청담대우로얄카운티 6차 아파트					강남구	청담동							617.229737482759		
357019954	상지리츠빌 9차 아파트					강남구	청담동							528.2444341112424		
357019955	두산빌라					강남구	청담동							928.256309798936		
357019958	대우로얄카운티2차					강남구	청담동							819.4340938451087		
357019960	대우리츠카운티아파트	7				강남구	청담동	7.0				7.0	19.599999999999998	648.5291053716586		
357019961	청담대우로얄카운티1차					강남구	청담동							926.1177163781314		
357019962	대우로얄카운티3차					강남구	청담동							1463.1989914094409		
357020009		8				강남구	청담동	8.0				8.0	22.4	350.2213985594285		
357020011		4				강남구	청담동	4.0				4.0	11.2	372.6728643027791		
357020014	상지리츠빌 3차 아파트	4				강남구	청담동	4.0				4.0	11.2	426.17439073368706		
