complex_osm_id	complex_name	n_buildings	n_with_height	total_flats	n_with_flats	built_year	max_levels	subdistrict	flats_complete	height_complete
472039909.0	우민아파트	1	1	70	1	2002.0	6.0	논현동	True	True
472275936.0	신동아아파트	1	0	0	0			청담동	False	False
473260560.0	삼성아파트	4	4	375	4	1999.0	25.0	자양동	True	True
473504133.0	대치포스코더샵아파트	4	4	276	4	2004.0	22.0	대치동	True	True
473590806.0	경남아파트	2	2	232	2	1999.0	19.0		True	True
473590807.0	자양5차현대아파트	2	2	206	2	1998.0	23.0		True	True
473846530.0	청담대림e편한세상4차아파트	2	2	94	2	2011.0	15.0	청담동	True	True
474304291.0	송파 동부센트레빌	4	4	206	4	2004.0	15.0	가락동	True	True
474304292.0	송파헬리오시티	84	83	9458	83	2018.0	35.0	가락동	False	False
474533732.0	목련타운아파트	8	8	650	8	1993.0	15.0	일원동	True	True
475032127.0	센트럴아이파크아파트	4	4	416	4	2018.0	31.0	삼성동	True	True
475036496.0	청담대림e편한세상1차아파트	4	4	271	4	2002.0	17.0	청담동	True	True
475036497.0	청담e편한세상 2차 아파트	1	1	41	1	2006.0	12.0	청담동	True	True
475036499.0	청담e편한세상 2차 아파트	3	3	142	3	2006.0	15.0		True	True
475036500.0	청담e편한세상 2차 아파트	1	1	41	1	2005.0	12.0		True	True
475036501.0	삼환아파트	1	1	184	1	1999.0	16.0	청담동	True	True
475924075.0	청담삼성1차아파트	1	1	158	1	1997.0	19.0	청담동	True	True
479748004.0	삼성롯데캐슬아파트	3	3	118	3	2005.0	13.0	삼성동	True	True
479820497.0	브라이튼N40 아파트	5	5	148	5	2022.0	10.0	논현동	True	True
491074920.0	서초래미안아파트	13	13	1129	13	2003.0	27.0		True	True
491080315.0	반포래미안아이파크아파트	11	11	829	11	2018.0	34.0		True	True
491080316.0	디에이치반포라클라스아파트	6	6	848	6	2021.0	35.0	반포동	True	True
499481635.0	삼호가든5차아파트	6	6	168	3	1986.0	16.0		False	True
503015621.0	현대맨션	13	0	0	0			신사동	False	False
503505195.0	시티극동아파트	1	1	200	1	1998.0	23.0	풍납동	True	True
503505197.0	동아한가람아파트	4	3	287	3	1995.0	18.0	풍납동	False	False
503505204.0	신성노바빌아파트	2	2	236	2	2000.0	19.0	풍납동	True	True
503505214.0	잠실올림픽아이파크아파트	7	7	697	7	2019.0	35.0		True	True
510394405.0	래미안 펜타빌	5	5	284	5	2007.0	24.0	역삼동	True	True
510394408.0	개나리4차아파트	5	5	499	5	2022.0	35.0	역삼동	True	True
510394410.0	역삼 아이파크	7	7	541	7	2006.0	21.0	역삼동	True	True
