aptSeq	apt_name	gu	confidence	osm_id	name	name_key	levels	height_m	dist_m	assign_method
11110-15	신문로맨션	종로구	LOW	196070805	신문로주상복합	신문로주상복합	10.0	28.0	7.417698485942695	nearest
11110-14	세종로대우	종로구	LOW	196070806	세종로대우아파트	세종로대우아파트	15.0	63.0	28.571361105882364	nearest
11110-13	세종	종로구	LOW	196070807	세종아파트	세종아파트	10.0	35.0	7.321211425714819	nearest
11110-2539	디팰리스	종로구	LOW	223158445	덕수궁디팰리스아파트	덕수궁디팰리스아파트	18.0	66.0	1.7255760076310798	nearest
11230-9	전농동삼성래미안	동대문구	MIXED	224703949	건설공학관	건설공학관		54.0	244.1408862296136	nearest
11110-118	킹스매너	종로구	LOW	228470425	101동	101	14.0	48.0	167.72562224405868	nearest
11680-378	한양1차(영동한양)	강남구	MIXED	264753407	35동	35	13.0	36.4	103.92214315093716	boundary
11680-380	한양3	강남구	LOW	264754540	9동	9	12.0	33.599999999999994	80.35563025050823	nearest
11680-380	한양3	강남구	LOW	264754548	2동	2	12.0	33.599999999999994	101.57638261375612	nearest
11680-380	한양3	강남구	LOW	264754551	5동	5	12.0	33.599999999999994	48.37776817967657	nearest
11680-380	한양3	강남구	LOW	264754555	6동	6	12.0	33.599999999999994	100.62797516346993	nearest
11680-380	한양3	강남구	LOW	264754558	1동	1	12.0	33.599999999999994	68.88953398554777	nearest
11170-2767	용산파크타워(24-1)	용산구	HIGH	278444780	104	104	34.0	119.0	11.083410007103485	boundary
11170-2767	용산파크타워(24-1)	용산구	HIGH	278444781	105	105	34.0	119.0	54.03536954514603	boundary
11170-2522	용산시티파크(1단지)	용산구	HIGH	278444783	102	102	41.0	145.0	38.04620156775321	boundary
11170-2522	용산시티파크(1단지)	용산구	HIGH	278444784	103	103	42.0	148.0	89.90632917895242	boundary
11170-22	효창맨션	용산구	LOW	311098912	효창맨션	효창맨션	11.0	30.8	20.46608591719839	nearest
11170-2917	센트레빌아스테리움서울	용산구	LOW	328442809	센트레빌아스테리움서울 비동	센트레빌아스테리움서울비	35.0	130.88	84.14564665699663	nearest
11170-2917	센트레빌아스테리움서울	용산구	LOW	328442810	센트레빌아스테리움서울 씨동	센트레빌아스테리움서울씨	35.0	130.88	120.64382055802324	nearest
11170-2917	센트레빌아스테리움서울	용산구	LOW	328442811	센트레빌아스테리움서울 에이동	센트레빌아스테리움서울에이	27.0	109.04	62.61183290457964	nearest
11230-2350	베라체캠퍼스	동대문구	LOW	330249783	베라체 캠퍼스	베라체캠퍼스	14.0	50.0	4.036812901450091	nearest
11680-3863	빌폴라리스	강남구	LOW	356466127	빌폴라리스 아파트	빌폴라리스아파트	20.0	70.0	1.6253771979431244	nearest
11680-3855	상지리츠빌카일룸3차	강남구	LOW	356466129	상지리츠빌카일룸 3차 아파트	상지리츠빌카일룸3차아파트	20.0	70.0	6.462614220915844	nearest
